datetime,open,high,low,close,volume,pure_bond_value,convert_value,pure_bond_premium_rate,convert_premium_rate
2017-08-18,122.29399021262581,124.10216364835745,121.84928141452022,123.63085920858514,6333568.0,86.77253751552048,113.21288683568251,43.01476889495778,12.269853413636675
2017-08-21,121.34023989792627,122.57082248108625,120.30458854974194,121.47398212625923,5075938.0,84.9425218605113,108.63725523148628,44.655446119160636,14.411988114748446
2017-08-22,122.94001206642507,124.18145361527418,122.34382270155582,123.20081389892928,3717754.0,86.34154352418155,111.40280726304107,43.71471892255378,13.366582235188234
2017-08-23,119.351698123603,119.98665225626969,118.51600905934795,118.88179579378547,5958707.0,85.66144964672706,102.95720200145772,39.507317654518005,17.109046280996864
2017-08-24,118.35511644259238,119.43025598163713,117.5577915424204,117.8818583938861,5935457.0,85.94000729798903,102.66499932508988,37.66318601339374,16.980775078127934
2017-08-25,116.6947389489931,118.42454032968539,116.36356912002653,118.08475333438258,10121589.0,85.76497587497379,99.4324898549625,39.36854530170114,20.879230215206327
2017-08-28,119.77806429872334,122.46510178374811,119.561651167354,121.47105030352682,15614929.0,85.02188616111543,102.95634624258618,44.7605031375615,19.876379499259965
2017-08-29,125.09619989649147,129.67664593856898,124.74466226404115,129.1406896253499,11102466.0,86.91446130572254,119.71196144632194,48.96237826975556,11.065166648445489
2017-08-30,122.54599964887218,124.51572376125397,120.41867500382895,123.40933546393833,13032292.0,87.5037747915946,107.47675142712424,41.78328126433171,16.76704023838631
2017-08-31,120.2325722224323,121.24023312127827,119.52653380340239,120.46583782562166,7245602.0,87.41739763409583,101.14011453507935,39.035895544083154,22.267844887726373
2017-09-01,119.35807318691928,120.14457829487303,118.90264316411792,119.36719444359444,6732050.0,85.41511496615443,101.06773555190469,43.875636194101354,21.853933605796158
2017-09-04,119.27589747287757,120.05979612691668,118.70121264915863,119.28557728231301,4864703.0,85.81318000710424,100.44761695920592,42.06324628107821,22.302027702698396
2017-09-05,117.89847898939817,118.54511450755462,117.63495314747063,118.32277895642791,7652351.0,86.64320024371595,97.56054385760663,37.38548519652327,24.871587158103434
2017-09-06,122.09334493574711,122.81596535803982,121.69880769003355,122.46866028922219,6528268.0,84.9649217823012,103.6371086009643,48.16771299719925,20.406488882457033
2017-09-07,119.75154102388288,120.40601278451344,119.12699848490622,119.46551694934517,6115133.0,87.23024713200842,97.24088649228071,39.3780755181776,25.23483786611019
2017-09-08,121.29825766025024,122.04974036849963,121.09127037720164,121.3601995920548,6805326.0,86.02261929663618,101.91261451530758,43.91910937741998,21.0087689221207
2017-09-11,120.95460932818361,121.80125108821211,120.3749338533419,120.79678705339953,6274512.0,87.70275605278945,105.08460666584111,39.67988058089617,18.975570140147948
2017-09-12,118.88997813838265,119.53921503794626,117.56981353467384,117.89262261545454,11222317.0,86.16339035779333,99.87464906233713,37.758960426416394,19.4579293708064
2017-09-13,116.98497613904938,117.25943698801537,116.24545409993995,116.46664421297181,6239567.0,86.44116646073356,98.73748319394599,35.383803480193414,18.98657593943618
2017-09-14,117.01439178806429,117.56771543851224,116.20151673843071,116.64598563167189,8205130.0,86.59779361799264,98.38987172041152,35.53091776993173,20.065211455577185
2017-09-15,116.67328735150123,117.54587723450791,116.12367494706614,116.82208689089653,6867060.0,86.21077485382392,98.29290572239066,37.44616435563399,20.272504187352375
2017-09-18,116.95770611368741,117.8989453469828,116.86384597899574,117.29452067348657,4965563.0,85.27707517054964,99.09609029900537,38.3167130395083,19.058094080771912
2017-09-19,117.10380551602051,117.51586357999722,116.30757047403765,116.73199097287923,3755461.0,86.57175309452022,98.96345866491491,36.04422587163067,19.45406106288948
2017-09-20,114.98855422310993,115.18800906096286,114.5864672916214,114.95634171068228,3140174.0,86.31274962836454,96.55797300496724,34.59885917847227,20.6923839267824
2017-09-21,116.08104264903145,116.64307895866071,115.7709750256736,116.04794232913736,5215476.0,86.87511338449261,98.09896483053511,34.33211795899358,20.30116598770659
2017-09-22,115.10201393460677,115.30482357532796,113.98317964936857,114.35713106268283,4717033.0,87.43500231537494,96.08979201222462,32.093655848008694,20.697074206201226
2017-09-25,120.0492176546403,120.86876825007806,118.8955444420414,119.21870982967987,4665391.0,87.97294610979016,106.62478325218615,36.66767407381289,14.00262370127177
2017-09-26,115.41121407472357,115.72696695054321,113.89162432528434,114.3972815413447,4650848.0,85.85683936301508,98.02666996063944,35.124952614490944,18.640295916099603
2017-09-27,114.37162386786379,115.01661794020407,113.62416161446167,114.61022621246973,6304343.0,87.254511842027,98.98767472088686,33.5387046962229,17.711038284814137
2017-09-28,114.43980484121965,115.25298249526747,113.96004927797016,114.42167144013962,2446367.0,86.7644157625164,96.65602447891098,33.1960357994937,23.11759054667595
2017-09-29,114.67313984952104,115.88679900481313,114.61854308741458,115.5237332537524,3605554.0,86.58760480525322,99.43307003190078,34.21753938349003,17.366879694854106
