Date,Time,Open,High,Low,Close,Volume
20240208,07:40:00,2033.03,2033.09,2032.24,2032.44,67110
20240208,07:45:00,2032.37,2032.40,2031.52,2032.35,44169
20240208,07:50:00,2032.37,2032.40,2031.68,2031.82,27480
20240208,07:55:00,2031.84,2033.02,2031.84,2032.79,42990
20240208,08:00:00,2032.80,2033.21,2032.38,2032.42,108600
20240208,08:05:00,2032.40,2032.53,2031.53,2031.98,84160
20240208,08:10:00,2031.99,2032.64,2031.93,2032.10,39030
20240208,08:15:00,2032.13,2032.13,2030.90,2031.35,40090
20240208,08:20:00,2031.34,2031.68,2030.94,2031.37,47800
20240208,08:25:00,2031.32,2031.47,2030.27,2030.32,65880
20240208,08:30:00,2030.27,2030.34,2029.52,2029.91,95580
20240208,08:35:00,2029.88,2029.96,2029.17,2029.50,67560
20240208,08:40:00,2029.52,2029.59,2028.84,2029.24,39800
20240208,08:45:00,2029.28,2030.09,2029.14,2029.93,38850
20240208,08:50:00,2029.94,2030.89,2029.94,2030.88,40080
20240208,08:55:00,2030.83,2031.29,2030.66,2030.73,18879
20240208,09:00:00,2030.72,2031.59,2030.54,2030.83,29220
20240208,09:05:00,2030.80,2031.34,2030.76,2030.93,45280
20240208,09:10:00,2030.90,2031.37,2030.83,2031.08,71540
20240208,09:15:00,2031.09,2031.28,2030.69,2031.17,29760
20240208,09:20:00,2031.26,2031.33,2030.48,2030.70,24840
20240208,09:25:00,2030.76,2030.79,2029.93,2030.31,42889
20240208,09:30:00,2030.29,2030.88,2029.71,2030.63,33899
20240208,09:35:00,2030.63,2031.74,2030.53,2031.40,44010
20240208,09:40:00,2031.43,2033.24,2031.43,2032.86,44030
20240208,09:45:00,2032.88,2033.96,2032.72,2033.59,59640
20240208,09:50:00,2033.63,2033.78,2033.02,2033.57,32340
20240208,09:55:00,2033.63,2035.88,2033.59,2035.22,75780
20240208,10:00:00,2035.24,2035.79,2035.10,2035.52,109030
20240208,10:05:00,2035.47,2035.86,2035.34,2035.85,36869
20240208,10:10:00,2035.88,2036.33,2035.14,2035.46,75420
20240208,10:15:00,2035.53,2035.68,2034.65,2035.40,55190
20240208,10:20:00,2035.36,2037.13,2035.33,2036.62,139030
20240208,10:25:00,2036.62,2038.28,2036.62,2038.15,103560
20240208,10:30:00,2038.13,2038.36,2036.89,2037.11,122370
20240208,10:35:00,2037.14,2037.68,2036.78,2037.66,109590
20240208,10:40:00,2037.63,2037.68,2036.56,2036.60,77100
20240208,10:45:00,2036.61,2036.90,2035.95,2036.10,135710
